Ano,Filme,Diretor,Nota
2014,Relatos Selvagens,Damián Szifron,8.7
2010,O Segredo dos Seus Olhos,Juan José Campanella,8.6
2022,The Batman,Matt Reeves,8.6
2015,"Sicario: Terra de Ninguém
",Denis Villeneuve,8.6
1975,Um Dia de Cão,Sidney Lumet,8.5
1976,Taxi Driver,Martin Scorsese,8.5
2022,Top Gun: Maverick,Joseph Kosinski,8.5
2015,"Ex_Machina: Instinto Artificial
",Alex Garland,8.5
2000,Náufrago,Robert Zemeckis,8.4
1997,Boogie Nights,Paul Thomas Anderson,8.4
1982,"O Rei da Comédia
",Martin Scorsese,8.3
1980,"O Iluminado
",Stanley Kubrick,8.3
1980,Touro Indomável,Martin Scorsese,8.2
1991,JFK - A Pergunta Que Não Quer Calar,Oliver Stone,8.2
2022,"Pinóquio por Guillermo del Toro",Guillermo del Toro e Mark Gustafson,8.1
1995,Cassino,Martin Scorsese,8.1
1990,A Caçada ao Outubro Vermelho,John McTiernan,8.0
2007,A Garota Ideal,Craig Gillespie,8.0
1978,Halloween - A Noite do Terror,John Carpenter,8.0
2022,Avatar: O Caminho da Água,James Cameron,8.0
2022,Minions 2: A Origem de Gru,Kyle Balda,7.8
1997,Advogado do Diabo,Taylor Hackford,7.8
2016,"A Bruxa",Robert Eggers,7.7
2000,Réquiem para um Sonho,Darren Aronofsky,7.7
2022,O Homem do Norte,Robert Eggers,7.5
2017,A Grande Jogada,Aaron Sorkin,7.5
2021,Um Lugar Silencioso - Parte II,John Krasinski,7.5
1993,O Fugitivo,Andrew Davis,7.5
2022,Elvis,Baz Luhrmann,7.5
1973,Serpico,Sidney Lumet,7.4
2022,A Queda,Scott Mann,7.3
1990,Louca Obsessão,Rob Reiner,7.2
1986,"Top Gun - Ases Indomáveis",Tony Scott,6.9
2005,O Senhor das Armas,Andrew Niccol,6.9
2022,"Uncharted: Fora do Mapa",Ruben Fleischer,6.6
2022,"Thor Amor e Trovão",Taika Waititi,6.5
2008,Operação Valquíria,Bryan Singer,6.4
2022,Os Banshees de Inisherin,Martin McDonagh,8.2